Тип текста,Энтропия,Средняя длина кода,Избыточность кода,Эффективность кода,Вектор Крафта
Художественный,4.683195033849367,4.710200737402704,0.027005703553336424,0.9942665493343225,1.0
Научный,4.623078879095015,4.653647137372726,0.030568258277710925,0.9934313330221748,1.0
